"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON with Comments", "JSON", "HTML", "CSS", "TypeScript JSX", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\app-build-manifest.json", "JSON", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 65
"c:\Users\rfrjo\pothole-detection-website\.next\build-manifest.json", "JSON", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\rfrjo\pothole-detection-website\.next\fallback-build-manifest.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 27
"c:\Users\rfrjo\pothole-detection-website\.next\package.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\react-loadable-manifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\_error.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 24, 18, 76
"c:\Users\rfrjo\pothole-detection-website\.next\server\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\_not-found\page.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 105, 103, 386
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\_not-found\page_client-reference-manifest.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\api\auth\[auth0]\route.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 66, 60, 216
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\dashboard\page.js", "JavaScript", 0, 252, 0, 0, 0, 0, 0, 0, 0, 147, 147, 546
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\dashboard\page_client-reference-manifest.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
