"filename", "language", "JavaScript", "TypeScript JSX", "JSON", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\app-build-manifest.json", "JSON", 0, 0, -10, 0, 0, 0, 0, -10
"c:\Users\rfrjo\pothole-detection-website\.next\server\_error.js", "JavaScript", -34, 0, 0, 0, 0, -24, -18, -76
"c:\Users\rfrjo\pothole-detection-website\.next\server\app-paths-manifest.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\_not-found\page.js", "JavaScript", 75, 0, 0, 0, 0, 45, 45, 165
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\api\auth\[auth0]\route.js", "JavaScript", -90, 0, 0, 0, 0, -66, -60, -216
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\dashboard\page.js", "JavaScript", 75, 0, 0, 0, 0, 45, 45, 165
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\detections\page.js", "JavaScript", 75, 0, 0, 0, 0, 45, 45, 165
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\help\page.js", "JavaScript", 75, 0, 0, 0, 0, 45, 45, 165
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\maps\page.js", "JavaScript", -237, 0, 0, 0, 0, -138, -138, -513
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\maps\page_client-reference-manifest.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\model\page.js", "JavaScript", 75, 0, 0, 0, 0, 45, 45, 165
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\page.js", "JavaScript", 75, 0, 0, 0, 0, 45, 45, 165
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\signin\page.js", "JavaScript", 75, 0, 0, 0, 0, 45, 45, 165
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\signup\page.js", "JavaScript", -227, 0, 0, 0, 0, -132, -132, -491
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\signup\page_client-reference-manifest.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\spreadsheets\page.js", "JavaScript", 90, 0, 0, 0, 0, 54, 54, 198
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\upload\page.js", "JavaScript", 85, 0, 0, 0, 0, 51, 51, 187
"c:\Users\rfrjo\pothole-detection-website\.next\server\pages\_app.js", "JavaScript", -22, 0, 0, 0, 0, -15, -9, -46
"c:\Users\rfrjo\pothole-detection-website\.next\server\pages\_document.js", "JavaScript", -30, 0, 0, 0, 0, -21, -15, -66
"c:\Users\rfrjo\pothole-detection-website\.next\server\pages\_error.js", "JavaScript", -34, 0, 0, 0, 0, -24, -18, -76
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@auth0.js", "JavaScript", -27, 0, 0, 0, 0, -25, -17, -69
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@firebase.js", "JavaScript", 8, 0, 0, 0, 0, 6, 6, 20
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@hapi.js", "JavaScript", -62, 0, 0, 0, 0, -50, -43, -155
