"filename", "language", "JSON with Comments", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "TypeScript", "CSS", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\app-build-manifest.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
"c:\Users\rfrjo\pothole-detection-website\.next\build-manifest.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\rfrjo\pothole-detection-website\.next\fallback-build-manifest.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"c:\Users\rfrjo\pothole-detection-website\.next\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\react-loadable-manifest.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app-paths-manifest.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\_not-found\page.js", "JavaScript", 0, 0, 0, 253, 0, 0, 0, 0, 0, 150, 148, 551
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\_not-found\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\dashboard\page.js", "JavaScript", 0, 0, 0, 327, 0, 0, 0, 0, 0, 192, 192, 711
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\dashboard\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\detections\page.js", "JavaScript", 0, 0, 0, 302, 0, 0, 0, 0, 0, 177, 177, 656
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\detections\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\help\page.js", "JavaScript", 0, 0, 0, 307, 0, 0, 0, 0, 0, 180, 180, 667
