"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "TypeScript JSX", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\app-build-manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 35
"c:\Users\rfrjo\pothole-detection-website\.next\build-manifest.json", "JSON", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"c:\Users\rfrjo\pothole-detection-website\.next\package.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\react-loadable-manifest.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\dashboard\page.js", "JavaScript", 0, 0, 0, 327, 0, 0, 0, 0, 0, 192, 192, 711
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\dashboard\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\detections\page.js", "JavaScript", 0, 0, 0, 307, 0, 0, 0, 0, 0, 180, 180, 667
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\detections\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\model\page.js", "JavaScript", 0, 0, 0, 367, 0, 0, 0, 0, 0, 216, 216, 799
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\model\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\spreadsheets\page.js", "JavaScript", 0, 0, 0, 327, 0, 0, 0, 0, 0, 192, 192, 711
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\spreadsheets\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\upload\page.js", "JavaScript", 0, 0, 0, 332, 0, 0, 0, 0, 0, 195, 195, 722
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\upload\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\interception-route-rewrite-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\middleware-build-manifest.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\rfrjo\pothole-detection-website\.next\server\middleware-manifest.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\rfrjo\pothole-detection-website\.next\server\middleware-react-loadable-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\next-font-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\next-font-manifest.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\pages-manifest.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\server-reference-manifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\server-reference-manifest.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@firebase.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 41, 34, 125
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@floating-ui.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 23, 16, 65
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@grpc.js", "JavaScript", 0, 0, 0, 246, 0, 0, 0, 0, 0, 188, 181, 615
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@protobufjs.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 38, 31, 115
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@radix-ui.js", "JavaScript", 0, 0, 0, 134, 0, 0, 0, 0, 0, 104, 97, 335
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\aria-hidden.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\asynckit.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 38, 31, 114
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\axios.js", "JavaScript", 0, 0, 0, 283, 0, 0, 0, 0, 0, 176, 169, 628
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\class-variance-authority.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\clsx.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\combined-stream.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\debug.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 20, 13, 54
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\delayed-stream.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\exif-js.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 11, 4, 24
