"filename", "language", "TypeScript JSX", "JavaScript", "JSON", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\app-build-manifest.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\_not-found\page.js", "JavaScript", 0, 253, 0, 0, 0, 150, 148, 551
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\_not-found\page_client-reference-manifest.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\detections\page.js", "JavaScript", 0, 10, 0, 0, 0, 6, 6, 22
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\help\page.js", "JavaScript", 0, 307, 0, 0, 0, 180, 180, 667
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\help\page_client-reference-manifest.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\maps\page.js", "JavaScript", 0, 322, 0, 0, 0, 189, 189, 700
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\maps\page_client-reference-manifest.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\server\app\upload\page.js", "JavaScript", 0, -5, 0, 0, 0, -3, -3, -11
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@radix-ui.js", "JavaScript", 0, -8, 0, 0, 0, -6, -6, -20
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\lucide-react.js", "JavaScript", 0, 8, 0, 0, 0, 6, 6, 20
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\next.js", "JavaScript", 0, 20, 0, 0, 0, 12, 12, 44
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\_not-found\page.js", "JavaScript", 0, 18, 0, 0, 0, 14, 7, 39
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\detections\page.js", "JavaScript", 0, 1215, 0, 0, 0, 729, 729, 2673
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\help\page.js", "JavaScript", 0, 278, 0, 0, 0, 170, 163, 611
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\maps\page.js", "JavaScript", 0, 516, 0, 0, 0, 314, 307, 1137
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\upload\page.js", "JavaScript", 0, -5, 0, 0, 0, -3, -3, -11
"c:\Users\rfrjo\pothole-detection-website\.next\static\css\app\layout.css", "CSS", 0, 0, 0, 0, 146, 0, 5, 151
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\00c0b6e31034d73a.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\0f584aead81d8e0b.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\11f1b1d943d71588.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\13a2a815337e1d1b.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1aeb1389161142ce.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1e7a4e87f51341b7.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\24529a00ec2f742a.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\291cb78402e3ca30.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\397c95cc2c4599a8.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\525460c5e68e0ffe.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\527f319d3efb082f.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5333f146b1fce614.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\69c39a029157b06c.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7539328b2011ded9.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7adc1fe3bb0d6d03.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\8b0d77c6c93fef37.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
