Date : 2024-10-02 17:14:33
Directory : c:\Users\rfrjo\pothole-detection-website
Total : 135 files,  3947 codes, 2270 comments, 2006 blanks, all 8223 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         97 |      3,301 |      2,246 |      1,922 |      7,469 |
| TypeScript JSX |          7 |        379 |          4 |         43 |        426 |
| CSS            |          1 |        146 |          0 |          5 |        151 |
| TypeScript     |          2 |        104 |         20 |         36 |        160 |
| JSON           |         28 |         17 |          0 |          0 |         17 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        135 |      3,947 |      2,270 |      2,006 |      8,223 |
| .next                                                                                                              |        128 |      3,568 |      2,266 |      1,963 |      7,797 |
| .next (Files)                                                                                                      |          1 |         10 |          0 |          0 |         10 |
| .next\server                                                                                                       |         11 |        910 |        534 |        532 |      1,976 |
| .next\server\app                                                                                                   |          8 |        890 |        522 |        520 |      1,932 |
| .next\server\app\_not-found                                                                                        |          2 |        254 |        150 |        148 |        552 |
| .next\server\app\detections                                                                                        |          1 |         10 |          6 |          6 |         22 |
| .next\server\app\help                                                                                              |          2 |        308 |        180 |        180 |        668 |
| .next\server\app\maps                                                                                              |          2 |        323 |        189 |        189 |        701 |
| .next\server\app\upload                                                                                            |          1 |         -5 |         -3 |         -3 |        -11 |
| .next\server\vendor-chunks                                                                                         |          3 |         20 |         12 |         12 |         44 |
| .next\static                                                                                                       |        114 |      2,544 |      1,712 |      1,395 |      5,651 |
| .next\static\chunks                                                                                                |          5 |      2,022 |      1,224 |      1,203 |      4,449 |
| .next\static\chunks\app                                                                                            |          5 |      2,022 |      1,224 |      1,203 |      4,449 |
| .next\static\chunks\app\_not-found                                                                                 |          1 |         18 |         14 |          7 |         39 |
| .next\static\chunks\app\detections                                                                                 |          1 |      1,215 |        729 |        729 |      2,673 |
| .next\static\chunks\app\help                                                                                       |          1 |        278 |        170 |        163 |        611 |
| .next\static\chunks\app\maps                                                                                       |          1 |        516 |        314 |        307 |      1,137 |
| .next\static\chunks\app\upload                                                                                     |          1 |         -5 |         -3 |         -3 |        -11 |
| .next\static\css                                                                                                   |          1 |        146 |          0 |          5 |        151 |
| .next\static\css\app                                                                                               |          1 |        146 |          0 |          5 |        151 |
| .next\static\webpack                                                                                               |        108 |        376 |        488 |        187 |      1,051 |
